Parent_1_Crop,Parent_2_Crop,Hybrid_Crop,Parent_1_A,Parent_1_T,Parent_1_G,Parent_1_C,Parent_2_A,Parent_2_T,Parent_2_G,Parent_2_C,GC_Content (%),SNP_Count,Yield_Potential (kg/ha),Drought_Resistance_Score,Disease_Resistance_Score
Pearl Millet,Teff,Fonio,0.7796820944886994,0.08138823566321418,0.04728396593296734,0.09164570391511923,0.18982599720148569,0.6173263817930896,0.1226857523111053,0.07016186869431935,37.394622183816686,3313,3305.3208960603233,9,10
Finger Millet,Teff,Finger Millet,0.5149925675378331,0.0467808113228974,0.31258033426802817,0.12564628687124133,0.003663977125875468,0.04342125484512661,0.5518890257709606,0.4010257422580374,34.7806344329745,3537,1183.8996137708637,9,8
Pearl Millet,Finger Millet,Buckwheat,0.15152544095493403,0.15574589717537404,0.3372135993674974,0.3555150625021945,0.04433759391131326,0.013259550542846964,0.6321237000738763,0.31027915547196344,40.980299323731984,4356,4890.629504232262,3,8
Finger Millet,Pearl Millet,Finger Millet,0.385062753388871,0.057656800302468156,0.12652790292850266,0.4307525433801581,0.4822081149235161,0.22613179757991733,0.21378312668463917,0.07787696081192734,51.175670905169845,1792,1030.487424345369,9,3
Pearl Millet,Pearl Millet,Teff,0.25945096365936393,0.14226092413392158,0.4148000232129721,0.18348808899374228,0.11221843850271526,0.3709048813212801,0.16204561758729763,0.35483106258870706,63.2383593679427,3023,2937.8456739104863,8,3
Pearl Millet,Pearl Millet,Finger Millet,0.22407085114531383,0.21164905227962974,0.06533073546506625,0.4989493611099902,0.7073124598768421,0.0436649325790463,0.07681496335411246,0.17220764418999912,30.888864303823592,1326,4635.016023986575,9,8
Finger Millet,Pearl Millet,Quinoa,0.18763073310256673,0.13596395175112141,0.42713433118675503,0.2492709839595568,0.17767385683626877,0.3482389813290985,0.1639497127291792,0.3101374491054535,62.46971034470887,3285,4173.041568667289,7,3
Finger Millet,Pearl Millet,Finger Millet,0.4280468480736591,0.1070121367232229,0.28337077702814534,0.18157023817497273,0.033113400140529416,0.11808854354581491,0.062349920639094746,0.7864481356745608,68.82766380091911,2742,1308.6876993448845,3,10
Pearl Millet,Pearl Millet,Fonio,0.11726038110175807,0.5783007365621737,0.009406634885994391,0.2950322474500737,0.03607607473174838,0.12011903349217089,0.5711446556486467,0.272660236127434,48.86356536392792,1143,2611.009534695922,6,2
Finger Millet,Teff,Pearl Millet,0.5947032862079442,0.11539280163516809,0.12040514425783778,0.1694987678990499,0.37444879043051416,0.21359088130088408,0.19967774247357015,0.2122825857950316,52.020196936597316,1168,2869.9322414890257,4,2
Teff,Finger Millet,Amaranth,0.10817123315433148,0.44667488622830154,0.4362774907822776,0.008876389835089527,0.014764928348829082,0.07858626409640537,0.016043375235158693,0.8906054323196069,62.7010429547513,2071,4771.491489272677,9,6
Teff,Pearl Millet,Teff,0.2657879992531305,0.41316501058899324,0.26509856214701816,0.055948428010857996,0.3759752904174134,0.4350332888257967,0.12920125460819387,0.05979016614859588,68.47941257594596,1735,1822.8489349718184,10,3
Finger Millet,Finger Millet,Teff,0.35402651026617615,0.5946658669838528,0.005521161480503526,0.0457864612694676,0.25482727763941476,0.39868792121057756,0.07630996158190748,0.2701748395681003,50.33522007878538,1639,2150.3940711301298,7,5
Finger Millet,Teff,Fonio,0.2608323893305602,0.02484661364806665,0.02957136562650624,0.6847496313948669,0.2698359847695847,0.4156302791888491,0.05640793802743582,0.25812579801413044,53.10521821679667,1224,4014.074575550059,1,7
Pearl Millet,Teff,Teff,0.42637290993739746,7.95447192403499e-05,0.5367879603048014,0.0367595850385609,0.162160215244827,0.10064087904830453,0.2297507606492279,0.5074481450576407,50.81205625303804,2167,3550.689012143943,10,6
Teff,Finger Millet,Amaranth,0.33147955267772244,0.05356264281692632,0.5911509845211574,0.023806819984193945,0.258340388103244,0.26952561461241603,0.15132873095715,0.32080526632718986,57.10799600735891,4977,1268.669112502886,8,8
Finger Millet,Finger Millet,Teff,0.4920263249004985,0.44552719308911193,0.009577723623518344,0.052868758386871266,0.014132413445761957,0.12461134061340023,0.5394665518077589,0.32178969413307884,43.86074979183431,1792,2254.95402842747,1,8
Teff,Finger Millet,Sorghum,0.26763751747919606,0.5706730569474165,0.09164757045808972,0.07004185511529754,0.5137903953359552,0.14646195232876713,0.25517195384380525,0.0845756984914722,34.84621364568924,4570,1453.6974333988835,6,4
Pearl Millet,Pearl Millet,Pearl Millet,0.14594779462279003,0.38043350673163595,0.03832737868243389,0.4352913199631401,0.26971364697430444,0.2770006242035056,0.4468615338011086,0.0064241950210812224,49.24123351630968,2565,4813.138705849992,7,5
Teff,Teff,Buckwheat,0.25455195085811305,0.118603105132758,0.00053707742117985,0.626307866587949,0.4665406899376435,0.0957153047431091,0.18906142148356345,0.2486825838356837,58.302012071570736,2430,4573.243640358971,5,6
Finger Millet,Teff,Teff,0.3165561286656624,0.34966740103239774,0.24528164012726283,0.08849483017467699,0.08613608219164594,0.1142781570108839,0.13891787870843428,0.6606678820890359,41.34042905143191,3709,2967.815172861826,4,3
Pearl Millet,Pearl Millet,Pearl Millet,0.20537743672745679,0.3215546850766948,0.23017442951316147,0.24289344868268686,0.5053324438651812,0.12551042121022568,0.3608804553674984,0.008276679557094798,58.590343781331725,2317,4677.61555551848,1,5
Finger Millet,Teff,Quinoa,0.3274159672957874,0.1848170570261214,0.13424965855166318,0.3535173171264279,0.22559707263915652,0.23179139259108378,0.13405327555524987,0.40855825921450983,54.655105437535354,3015,1547.789795482046,6,4
